neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,review_scores_cleanliness,review_scores_location,amenities_count,wifi,kitchen,tv,air_conditioning,washer,dryer,dishwasher,microwave,refrigerator,workspace,gym,pets_allowed,parking,elevator,self_check_in,stay_length,checkin_month
Williamsburg,Brooklyn,40.71524,-73.95962,Entire home/apt,2,1.0,1.0,1.0,5.0,5.0,5.0,37,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,30,10
West Brighton,Staten Island,40.63455,-74.11389,Private room,1,1.0,,1.0,5.0,4.9,5.0,29,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,30,6
Williamsbridge,Bronx,40.87712,-73.85696,Private room,1,1.0,,1.0,4.74,4.74,4.58,33,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,3,7
Flushing,Queens,40.76383,-73.82799,Private room,2,1.0,,1.0,4.59,4.72,4.72,19,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,30,6
Queens Village,Queens,40.70691,-73.73869,Entire home/apt,2,1.0,1.0,1.0,5.0,4.8,4.5,25,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,30,6
Inwood,Manhattan,40.86291,-73.91783,Private room,1,1.0,1.0,1.0,4.88,4.91,4.7,35,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,30,9
Springfield Gardens,Queens,40.67373,-73.75516,Entire home/apt,6,2.0,3.0,3.0,4.75,4.82,4.82,32,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,9
Midtown,Manhattan,40.7516,-73.97187,Entire home/apt,4,1.0,1.0,2.0,4.92,5.0,4.88,56,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,3,8
Harlem,Manhattan,40.79886,-73.95373,Private room,2,1.0,,2.0,4.92,4.91,4.78,56,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,30,12
Jackson Heights,Queens,40.74827,-73.87856,Private room,2,1.5,,1.0,4.7,4.6,4.5,25,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,30,6
Harlem,Manhattan,40.80114,-73.95866,Private room,1,,2.0,1.0,,,,24,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68074,-73.94437,Private room,1,2.0,,1.0,4.67,4.33,4.83,38,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,30,1
West Brighton,Staten Island,40.63033,-74.11345,Private room,2,1.0,,1.0,4.73,4.77,4.82,21,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,30,6
East Village,Manhattan,40.72425,-73.97904,Entire home/apt,6,1.0,3.0,3.0,4.93,4.91,4.89,38,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,6,7
Bedford-Stuyvesant,Brooklyn,40.67966,-73.94369,Private room,1,,1.0,,4.29,4.14,4.71,49,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,85,1
Jamaica,Queens,40.672195,-73.77623,Entire home/apt,3,1.0,1.0,2.0,4.86,4.88,4.8,41,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,30,6
Bushwick,Brooklyn,40.69921,-73.92159,Private room,2,1.0,,1.0,4.84,4.58,4.84,31,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,30,6
Bedford-Stuyvesant,Brooklyn,40.68216,-73.91092,Private room,2,1.0,,2.0,4.77,4.85,4.48,49,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,6
West Brighton,Staten Island,40.63045,-74.11493,Private room,2,1.0,,2.0,4.67,4.67,5.0,20,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,30,6
Morris Park,Bronx,40.84771,-73.84733,Private room,1,1.0,,1.0,4.91,4.9,4.87,28,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,8
Bedford-Stuyvesant,Brooklyn,40.6895,-73.95735,Entire home/apt,6,1.0,3.0,3.0,5.0,4.96,5.0,68,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,30,7
Jamaica,Queens,40.66842,-73.78358,Private room,1,1.0,1.0,1.0,4.72,4.71,4.75,16,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,30,7
Richmond Hill,Queens,40.70021,-73.83926,Entire home/apt,5,2.0,3.0,3.0,5.0,5.0,5.0,53,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,30,6
Queens Village,Queens,40.71096,-73.7356,Entire home/apt,4,1.0,2.0,2.0,4.84,4.9,4.8,54,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,30,7
East Elmhurst,Queens,40.75625,-73.88966,Entire home/apt,12,1.5,3.0,6.0,4.84,4.75,4.73,75,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,7
Harlem,Manhattan,40.80562317909974,-73.9481598438038,Private room,4,1.0,,3.0,4.95,4.94,4.7,41,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,7
Bedford-Stuyvesant,Brooklyn,40.69536,-73.95609,Private room,2,,,1.0,,,,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
East Elmhurst,Queens,40.75636,-73.8821,Entire home/apt,2,1.0,1.0,1.0,4.57,4.64,4.77,47,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,6
Hell's Kitchen,Manhattan,40.76385,-73.98711,Entire home/apt,5,2.0,2.0,2.0,5.0,5.0,5.0,37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,30,8
Upper West Side,Manhattan,40.795319,-73.962914,Entire home/apt,4,,2.0,3.0,4.78,4.67,4.83,47,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,6
Upper West Side,Manhattan,40.77685,-73.98055,Entire home/apt,2,1.0,1.0,2.0,4.78,4.78,4.89,34,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,30,12
Canarsie,Brooklyn,40.64045,-73.89297,Entire home/apt,6,1.0,2.0,3.0,4.69,4.83,4.8,32,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,30,12
Washington Heights,Manhattan,40.83511,-73.94411,Entire home/apt,2,1.0,1.0,1.0,5.0,5.0,4.0,38,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,30,7
Bedford-Stuyvesant,Brooklyn,40.68455735733899,-73.95453000233503,Entire home/apt,2,1.0,1.0,1.0,4.75,4.5,4.67,56,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,9
Upper East Side,Manhattan,40.769524,-73.956451,Entire home/apt,4,1.0,1.0,2.0,4.91,4.83,4.96,50,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,30,6
Morris Park,Bronx,40.84622,-73.84862,Private room,1,1.0,,1.0,4.97,4.91,4.81,31,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,7
Washington Heights,Manhattan,40.8443,-73.94234,Private room,2,1.0,,1.0,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,7
Gramercy,Manhattan,40.73534,-73.98676,Entire home/apt,2,1.0,,1.0,4.68,4.82,4.88,26,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68106,-73.94969,Private room,1,1.0,,1.0,4.86,4.93,4.71,29,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,30,10
Midtown,Manhattan,40.74782,-73.98868,Entire home/apt,5,1.0,,3.0,4.54,4.55,4.87,32,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,6
Chelsea,Manhattan,40.74684,-73.99207,Entire home/apt,2,1.0,,1.0,3.87,3.8,4.4,32,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,7
Far Rockaway,Queens,40.6059,-73.75189,Entire home/apt,4,1.0,,2.0,4.79,4.86,4.86,39,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,30,6
Washington Heights,Manhattan,40.83138,-73.94075,Entire home/apt,6,1.0,2.0,2.0,4.82,4.74,4.87,55,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,30,8
Hell's Kitchen,Manhattan,40.75409,-73.99675,Entire home/apt,2,1.0,2.0,2.0,4.79,4.79,4.64,22,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,30,11
Hell's Kitchen,Manhattan,40.75554,-73.99513,Entire home/apt,2,1.0,2.0,2.0,5.0,4.92,4.75,21,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,30,10
Bedford-Stuyvesant,Brooklyn,40.67981,-73.94347,Shared room,3,2.0,1.0,3.0,3.5,4.5,4.5,16,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,30,7
Downtown Brooklyn,Brooklyn,40.70058,-73.98702,Entire home/apt,2,1.0,1.0,1.0,,,,13,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,30,6
Crown Heights,Brooklyn,40.678195876957375,-73.9466077048015,Private room,2,2.0,,1.0,4.67,4.67,5.0,31,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30,9
Mariners Harbor,Staten Island,40.62667,-74.15076,Entire home/apt,2,1.0,1.0,2.0,4.25,4.28,4.38,33,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,30,9
Prospect-Lefferts Gardens,Brooklyn,40.65664,-73.95596,Private room,3,1.5,,2.0,4.67,4.72,4.7,29,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,2,7
Bedford-Stuyvesant,Brooklyn,40.67986,-73.90764,Private room,2,1.0,,1.0,4.62,4.41,4.32,41,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,4,6
Far Rockaway,Queens,40.60374,-73.75102,Entire home/apt,4,2.0,2.0,4.0,5.0,4.75,3.75,36,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,30,6
East New York,Brooklyn,40.66938,-73.88925,Private room,2,1.0,,1.0,4.88,4.9,4.4,47,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,2,7
East Village,Manhattan,40.72547,-73.98264,Entire home/apt,2,1.0,,1.0,4.33,4.33,4.67,22,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,30,8
Washington Heights,Manhattan,40.84526,-73.9427,Private room,1,1.0,,1.0,4.84,4.68,4.95,28,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,8
Midtown,Manhattan,40.75695,-73.97055,Hotel room,2,1.0,1.0,1.0,4.0,4.0,3.5,13,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,6
Midtown,Manhattan,40.75668,-73.97218,Hotel room,2,1.0,1.0,2.0,5.0,5.0,5.0,14,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,6
Murray Hill,Manhattan,40.74949,-73.97842,Hotel room,2,1.0,1.0,1.0,,,,11,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,7
Midtown,Manhattan,40.75706,-73.97213,Hotel room,2,1.0,1.0,2.0,,,,12,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,6
Murray Hill,Manhattan,40.74771,-73.97908,Hotel room,2,1.0,1.0,1.0,,,,11,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,8
Murray Hill,Manhattan,40.74806,-73.97892,Hotel room,2,1.0,1.0,1.0,,,,11,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,7
Murray Hill,Manhattan,40.74771,-73.9791,Hotel room,2,1.0,1.0,1.0,,,,11,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,7
Bedford-Stuyvesant,Brooklyn,40.67822,-73.93916,Private room,2,,2.0,,5.0,5.0,5.0,39,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,30,10
Windsor Terrace,Brooklyn,40.65087,-73.97981,Private room,1,1.0,,1.0,4.98,5.0,4.93,46,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,30,10
East Flatbush,Brooklyn,40.66154,-73.92301,Entire home/apt,4,1.0,2.0,3.0,4.7,4.71,4.52,27,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,30,6
Upper East Side,Manhattan,40.76113,-73.95989,Entire home/apt,2,1.0,1.0,1.0,4.94,4.88,5.0,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper East Side,Manhattan,40.76052,-73.9596,Entire home/apt,2,1.0,1.0,1.0,4.33,4.47,4.47,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Flatiron District,Manhattan,40.7433,-73.99101,Private room,1,1.0,7.0,1.0,3.43,3.71,4.29,27,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30,12
Roosevelt Island,Manhattan,40.76352,-73.94841,Private room,3,1.0,,1.0,4.82,4.53,5.0,20,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,30,6
Concourse Village,Bronx,40.82992,-73.91626,Private room,1,1.0,1.0,1.0,4.83,4.74,4.77,18,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,30,11
Bushwick,Brooklyn,40.70150631391255,-73.91343666563714,Private room,1,,,1.0,4.98,4.97,4.91,24,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,8
Flushing,Queens,40.75784,-73.78813,Private room,2,2.0,,1.0,4.91,4.96,4.78,39,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,6
Rosedale,Queens,40.65731,-73.72959,Entire home/apt,2,1.0,1.0,1.0,5.0,4.98,4.98,34,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,11
East Elmhurst,Queens,40.75767,-73.89801,Entire home/apt,6,1.0,2.0,2.0,4.72,4.75,4.64,26,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.67981,-73.94382,Private room,1,,,,4.67,4.17,5.0,48,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,85,1
Greenwich Village,Manhattan,40.73287,-73.99913,Entire home/apt,2,1.0,,2.0,4.88,5.0,5.0,35,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,30,8
Long Island City,Queens,40.74606,-73.94263,Entire home/apt,2,1.0,1.0,1.0,4.9,5.0,5.0,53,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,30,6
Throgs Neck,Bronx,40.81634,-73.81864,Entire home/apt,4,1.0,2.0,3.0,4.58,4.73,4.78,30,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,30,6
Crown Heights,Brooklyn,40.67518,-73.95081,Private room,2,1.0,,1.0,4.96,4.92,4.77,36,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,7
Bedford-Stuyvesant,Brooklyn,40.68182,-73.94473,Shared room,3,2.0,1.0,3.0,3.6,4.0,3.4,16,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.683462659438504,-73.92192679303639,Private room,2,1.0,,2.0,4.9,4.85,4.88,52,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,7
Bedford-Stuyvesant,Brooklyn,40.68522,-73.93657,Entire home/apt,4,2.0,1.0,2.0,4.94,4.96,4.77,49,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,30,7
Bushwick,Brooklyn,40.68788,-73.90799,Private room,2,1.0,,1.0,4.76,4.8,4.56,31,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,30,6
South Slope,Brooklyn,40.66132,-73.98228,Entire home/apt,2,1.0,1.0,1.0,4.99,5.0,4.99,37,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,6
Upper East Side,Manhattan,40.75996,-73.96085,Entire home/apt,2,,,,4.86,5.0,4.71,14,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,60,9
Upper East Side,Manhattan,40.76096,-73.96089,Entire home/apt,2,1.0,1.0,1.0,4.79,4.71,4.64,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8
Upper East Side,Manhattan,40.76097,-73.96115,Entire home/apt,2,,1.0,1.0,4.8,4.67,4.93,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,30,6
Theater District,Manhattan,40.76108,-73.98478,Entire home/apt,5,1.0,2.0,3.0,,,,62,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,30,6
Upper East Side,Manhattan,40.75885,-73.95944,Entire home/apt,4,1.0,2.0,2.0,4.64,4.57,4.86,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper West Side,Manhattan,40.79754,-73.96283,Entire home/apt,2,,,,4.63,4.75,4.63,19,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,30,10
Bedford-Stuyvesant,Brooklyn,40.68905,-73.94377,Entire home/apt,3,1.0,1.0,2.0,,,,40,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,30,6
Flatbush,Brooklyn,40.65106,-73.96183,Private room,2,1.0,,1.0,4.97,4.97,4.86,49,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,5,8
Hell's Kitchen,Manhattan,40.75488,-73.99402,Private room,2,1.0,1.0,1.0,4.81,4.63,4.94,32,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.6841,-73.94903,Entire home/apt,2,1.0,1.0,1.0,5.0,4.8,5.0,22,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,30,6
Washington Heights,Manhattan,40.85319,-73.93556,Private room,2,1.0,,3.0,4.91,4.86,4.82,12,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,30,6
Jamaica,Queens,40.68719,-73.77831,Private room,2,1.0,,1.0,4.5,4.0,4.5,34,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,30,6
Wakefield,Bronx,40.88812,-73.86039,Private room,1,1.0,,1.0,4.9,4.63,4.78,23,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,6
West Village,Manhattan,40.73541,-74.00438,Entire home/apt,4,1.0,1.0,1.0,5.0,5.0,5.0,16,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,30,6
Crown Heights,Brooklyn,40.6709622798764,-73.95401064855447,Entire home/apt,2,1.0,,1.0,4.89,4.89,4.67,39,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,31,10
Park Slope,Brooklyn,40.67124,-73.97542,Entire home/apt,4,2.0,1.0,1.0,5.0,4.63,4.88,19,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,30,6
Allerton,Bronx,40.86237,-73.85278,Private room,2,1.5,,1.0,4.88,5.0,4.88,29,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,30,8
Longwood,Bronx,40.81992,-73.9079,Private room,1,2.0,,2.0,4.96,4.84,4.68,23,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,6
Upper East Side,Manhattan,40.76103,-73.9609,Entire home/apt,2,1.0,,1.0,4.57,4.57,4.43,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8
Upper East Side,Manhattan,40.7593,-73.96107,Entire home/apt,4,1.0,2.0,2.0,4.44,4.44,4.38,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper East Side,Manhattan,40.76025,-73.95954,Entire home/apt,4,1.0,2.0,2.0,4.58,4.58,4.5,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Flushing,Queens,40.72891,-73.79491,Private room,1,,1.0,,4.9,4.87,4.94,46,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,30,9
East Harlem,Manhattan,40.79614,-73.9481,Private room,2,1.0,,1.0,4.98,4.94,4.91,28,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,30,11
Crown Heights,Brooklyn,40.67026,-73.93575,Entire home/apt,11,2.5,4.0,4.0,4.54,4.32,4.26,59,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,6
St. Albans,Queens,40.7009,-73.75192,Private room,2,1.0,2.0,2.0,4.8,4.78,4.73,44,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,2,6
Greenpoint,Brooklyn,40.72809,-73.95556,Private room,2,1.0,,2.0,4.96,4.97,4.98,36,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,30,10
Jamaica,Queens,40.67152040049514,-73.77850941517111,Private room,2,1.0,,1.0,4.89,4.91,4.81,43,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,6
Bedford-Stuyvesant,Brooklyn,40.68622,-73.93016,Entire home/apt,8,,3.0,5.0,4.75,4.25,4.63,28,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,30,6
Flatbush,Brooklyn,40.64283,-73.96772,Private room,2,1.0,,2.0,4.81,4.67,4.95,27,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,2,6
Jamaica,Queens,40.67195349279392,-73.77707576414976,Private room,2,1.0,,1.0,4.8,4.89,4.84,44,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,6
Flushing,Queens,40.7361,-73.79774,Private room,1,1.0,,1.0,,,,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Upper West Side,Manhattan,40.782615661621094,-73.9755859375,Entire home/apt,2,,,1.0,4.79,4.79,4.95,23,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,30,8
Kips Bay,Manhattan,40.73925,-73.98031,Entire home/apt,3,1.0,,2.0,,,,25,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,30,6
Kips Bay,Manhattan,40.73934,-73.97988,Entire home/apt,4,1.0,1.0,2.0,,,,25,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,30,6
Kips Bay,Manhattan,40.74065,-73.98125,Entire home/apt,3,1.0,,2.0,,,,28,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,30,6
Kips Bay,Manhattan,40.74128,-73.97862,Entire home/apt,4,1.0,1.0,2.0,,,,23,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,30,6
Kips Bay,Manhattan,40.73954,-73.97943,Entire home/apt,4,1.0,1.0,2.0,,,,26,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,30,6
Kips Bay,Manhattan,40.74207,-73.98128,Entire home/apt,4,1.0,1.0,2.0,5.0,5.0,5.0,24,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,30,6
Harlem,Manhattan,40.80639,-73.94951,Private room,1,1.5,,1.0,4.67,4.67,4.83,20,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,30,6
East Harlem,Manhattan,40.79333,-73.94509,Private room,1,1.0,2.0,1.0,5.0,5.0,5.0,24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30,9
Fresh Meadows,Queens,40.75243,-73.78603,Private room,2,,,1.0,4.92,4.75,4.67,38,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,7
Upper East Side,Manhattan,40.7731,-73.95783,Entire home/apt,2,1.0,1.0,1.0,4.55,4.64,4.82,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,30,7
East Flatbush,Brooklyn,40.64964,-73.92565,Private room,1,1.0,,1.0,5.0,5.0,5.0,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Flushing,Queens,40.74262,-73.81538,Private room,1,1.5,,1.0,3.83,3.33,4.17,17,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68077,-73.94036,Entire home/apt,4,,2.0,,4.85,4.74,4.78,28,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,30,10
Flushing,Queens,40.75269,-73.82315,Private room,1,1.0,,1.0,4.56,4.5,4.44,34,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,30,8
Wakefield,Bronx,40.90505,-73.84651,Private room,2,1.0,,2.0,4.91,4.89,4.81,17,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,30,6
Sunset Park,Brooklyn,40.63533,-74.01187,Entire home/apt,6,2.0,2.0,3.0,4.8,4.9,4.6,50,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,30,1
Upper East Side,Manhattan,40.76089,-73.95961,Entire home/apt,2,,1.0,2.0,4.86,4.86,4.64,37,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,6
SoHo,Manhattan,40.7251,-74.00331,Entire home/apt,2,1.0,1.0,1.0,4.75,5.0,5.0,49,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,30,8
Upper East Side,Manhattan,40.78505,-73.95575,Entire home/apt,4,2.0,2.0,3.0,5.0,5.0,5.0,54,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,30,6
Upper East Side,Manhattan,40.76081,-73.96153,Entire home/apt,4,1.0,2.0,2.0,4.75,4.63,5.0,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper East Side,Manhattan,40.75965,-73.96125,Entire home/apt,4,1.0,2.0,2.0,4.8,4.7,4.9,39,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,7
Upper East Side,Manhattan,40.76106,-73.95926,Entire home/apt,4,1.0,2.0,2.0,5.0,5.0,4.5,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper East Side,Manhattan,40.75935,-73.95965,Entire home/apt,2,,1.0,1.0,4.82,4.91,4.91,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6
Upper East Side,Manhattan,40.75974,-73.96154,Entire home/apt,2,1.0,1.0,1.0,5.0,5.0,5.0,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8
Midtown,Manhattan,40.76442,-73.98026,Private room,4,1.0,,1.0,5.0,5.0,5.0,34,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,30,6
Boerum Hill,Brooklyn,40.68726,-73.98982,Entire home/apt,6,1.0,2.0,3.0,4.94,4.95,4.99,34,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.68361,-73.91959,Entire home/apt,4,1.0,2.0,2.0,4.93,4.91,4.68,43,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,4,7
Kips Bay,Manhattan,40.73891067504883,-73.98082733154297,Entire home/apt,3,1.0,,1.0,4.14,4.71,4.14,35,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,30,7
Astoria,Queens,40.76975,-73.91931,Private room,1,1.0,,1.0,4.98,4.98,4.92,41,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68456,-73.94415,Private room,2,1.0,,2.0,4.87,4.72,4.87,22,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2,7
Bedford-Stuyvesant,Brooklyn,40.69116134150181,-73.94857222856078,Private room,2,1.0,,1.0,5.0,5.0,5.0,30,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,2,6
Prospect-Lefferts Gardens,Brooklyn,40.66171,-73.95699,Private room,1,1.0,,1.0,5.0,5.0,4.89,38,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,3,8
St. Albans,Queens,40.69599,-73.77994,Shared room,2,1.0,2.0,4.0,4.71,4.43,4.71,24,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,6
Upper East Side,Manhattan,40.77077102661133,-73.95748138427734,Entire home/apt,6,,3.0,3.0,4.8,4.9,4.9,37,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,30,11
Laurelton,Queens,40.67242,-73.75004,Private room,1,1.0,,1.0,5.0,5.0,5.0,16,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,31,8
SoHo,Manhattan,40.72416,-74.00498,Entire home/apt,3,1.0,2.0,2.0,4.52,4.3,5.0,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,30,6
Bushwick,Brooklyn,40.69694,-73.92952,Entire home/apt,2,1.0,,1.0,5.0,5.0,5.0,20,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,30,6
